ticker,sector,signal_date,entry_date,exit_date,entry,stop,target,exit,status,ret_pct,score,hold_days
SAIL,Metal,2025-10-09,2025-10-10,2025-10-13,136.5,131.27005670502922,146.95988658994156,131.27005670502922,STOP_HIT,-4.131460289355881,85,2
LT,CapGoods,2025-10-13,2025-10-14,2025-10-23,3738.484780545012,3653.4380287028744,3908.5782842292874,3908.5782842292874,TARGET_HIT,4.24979794406114,85,7
IDFCFIRSTB,Bank,2025-10-20,2025-10-21,2025-10-31,77.02372523664094,74.5707460067621,81.92968369639861,81.92968369639861,TARGET_HIT,6.069412080089654,70,8
BHARTIARTL,Telecom,2025-10-23,2025-10-24,2025-10-29,1983.0429326806875,1933.7744191413276,2081.5799597594073,2081.5799597594073,TARGET_HIT,4.668981026826125,90,4
TATACONSUM,FMCG,2025-10-23,2025-10-24,2025-11-25,1153.539197992114,1119.9359711537613,1220.7456516688192,1167.8182373046875,EXPIRED,0.9378460426336612,75,22
BPCL,Energy,2025-10-29,2025-10-30,2025-11-04,333.4594174675753,322.694791681582,354.9886690395619,354.9886690395619,TARGET_HIT,6.156333347994314,100,4
ACC,Cement,2025-10-31,2025-11-03,2025-11-03,1908.954490777867,1863.1827847200439,2000.4979028935136,1863.1827847200439,STOP_HIT,-2.6977368910021555,100,1
CANBK,Bank,2025-11-03,2025-11-04,2025-11-17,135.2387654734724,130.13141112457362,145.45347417126996,145.45347417126996,TARGET_HIT,7.253092238039705,70,9
AUROPHARMA,Pharma,2025-11-04,2025-11-06,2025-11-17,1156.0,1117.1533037805984,1233.6933924388031,1233.6933924388031,TARGET_HIT,6.420881698858405,85,8
MUTHOOTFIN,NBFC,2025-11-17,2025-11-18,2025-12-17,3649.244046808135,3506.8780011781114,3933.976138068182,3734.91943359375,EXPIRED,2.047757115903293,70,22
BAJAJ-AUTO,Auto,2025-11-17,2025-11-18,2025-12-17,8850.937984778278,8637.238108601669,9278.337737131498,8771.5556640625,EXPIRED,-1.1968803176827023,60,22
AUROPHARMA,Pharma,2025-11-25,2025-11-26,2025-12-09,1210.0,1170.9008151781607,1288.1983696436785,1170.9008151781607,STOP_HIT,-3.5313375885817617,75,10
TITAN,Retail,2025-12-09,2025-12-10,2025-12-29,3818.470440522837,3721.546629240352,4012.3180630878073,4012.3180630878073,TARGET_HIT,4.77657779690518,85,13
BANKBARODA,Bank,2025-12-17,2025-12-18,2026-01-05,278.97676607106365,269.7841635472443,297.36197111870234,299.12509361447337,TARGET_HIT,6.922224211415984,70,12
VEDL,Metal,2025-12-17,2025-12-18,2025-12-29,560.3418154222043,539.6914603865289,601.642525493555,601.642525493555,TARGET_HIT,7.070627880097014,70,7
HINDALCO,Metal,2025-12-29,2025-12-30,2026-01-02,863.4953732294697,837.8747507264147,914.7366182355796,914.7366182355796,TARGET_HIT,5.6341655548735385,90,4
SRF,Chemicals,2025-12-29,2025-12-30,2026-01-06,3073.3764664945843,2986.418189704531,3247.293020074691,2986.418189704531,STOP_HIT,-3.1294053051442723,75,6
COALINDIA,Metal,2026-01-02,2026-01-05,2026-01-09,414.4743148943661,403.50925811217905,436.4044284587402,403.50925811217905,STOP_HIT,-2.945533483777307,70,5
SBIN,Bank,2026-01-05,2026-01-06,2026-01-16,990.1033041483112,971.229012696553,1027.8518870518276,1027.8518870518276,TARGET_HIT,3.51259033732726,70,9
LT,CapGoods,2026-01-06,2026-01-07,2026-01-08,4066.2833534738093,3988.982556190721,4220.884948039986,3988.982556190721,STOP_HIT,-2.201018462401316,75,2
APOLLOHOSP,Pharma,2026-05-06,2026-05-07,2026-05-21,7751.476160541791,7536.359596148558,8181.709289328256,8188.966775306821,TARGET_HIT,5.3439651713313445,100,11
FEDERALBNK,Bank,2026-05-06,2026-05-07,2026-05-13,293.49729903241655,282.1464801188469,316.19893685955583,282.1464801188469,STOP_HIT,-4.167435561073407,85,5
MOTHERSON,Auto,2026-05-07,2026-05-08,2026-05-12,130.76268432974635,124.11869983747445,144.05065331429014,124.11869983747445,STOP_HIT,-5.380948380898675,100,3
NYKAA,Retail,2026-05-22,2026-05-25,2026-05-25,280.1000061035156,268.5127465859415,303.2745251386639,268.5127465859415,STOP_HIT,-4.436829441300282,100,1
DIXON,CapGoods,2026-05-22,2026-05-25,2026-06-03,11840.888211014146,11193.69538765158,13135.27385773928,11193.69538765158,STOP_HIT,-5.765745574395009,100,8
TECHM,IT,2026-05-25,2026-05-26,2026-06-01,1397.2884647399856,1336.7849826928389,1518.295428834279,1518.295428834279,TARGET_HIT,8.36012760770991,75,5
SAIL,Metal,2026-05-25,2026-05-26,2026-06-08,198.35000610351562,187.8508962357852,219.3482258389765,187.3699951171875,STOP_HIT,-5.835674640008747,75,10
MRF,Auto,2026-07-03,2026-07-06,2026-07-13,134964.43849528162,130804.50068383783,143284.3141181692,130804.50068383783,STOP_HIT,-3.382247337019239,100,6
MARICO,FMCG,2026-07-03,2026-07-06,2026-07-30,835.1807173761218,809.2660694069515,887.0100133144625,887.0100133144625,TARGET_HIT,5.905758210171841,90,19
